repo,language,topics,default_branch,deploy_count,pr_count,deployments_per_week_median,deployments_per_week_p85,deployments_per_week_p95,pr_cycle_time_hours_median,pr_cycle_time_hours_p85,pr_cycle_time_hours_p95,sample_window_start,sample_window_end
"portainer/portainer","TypeScript","docker|docker-compose|docker-container|docker-deployment|docker-image|docker-swarm|docker-ui|dockerfile|hacktoberfest|kubernetes|moby|portainer|ui","develop","36","0","1.000","2.000","2.000","","","","2024-10-07T19:34:13Z","2025-09-25T03:07:58Z"
"PrefectHQ/prefect","Python","automation|data|data-engineering|data-ops|data-science|infrastructure|ml-ops|observability|orchestration|pipeline|prefect|python|workflow|workflow-engine","main","82","231","1.000","2.000","4.000","3.899","58.237","143.852","2024-10-08T22:55:59Z","2025-10-02T19:27:08Z"
"prometheus/prometheus","Go","alerting|graphing|hacktoberfest|metrics|monitoring|prometheus|time-series","main","17","41","1.000","1.000","1.250","118.058","660.559","1152.649","2024-10-22T13:45:11Z","2025-10-02T10:38:54Z"
"promptfoo/promptfoo","TypeScript","ci|ci-cd|cicd|evaluation|evaluation-framework|llm|llm-eval|llm-evaluation|llm-evaluation-framework|llmops|pentesting|prompt-engineering|prompt-testing|prompts|rag|red-teaming|testing|vulnerability-scanners","main","143","805","2.000","5.000","5.000","5.882","99.903","338.073","2024-10-04T15:33:56Z","2025-10-02T17:27:52Z"
"qdrant/qdrant","Rust","ai-search|ai-search-engine|embeddings-similarity|hnsw|image-search|knn-algorithm|machine-learning|mlops|nearest-neighbor-search|neural-network|neural-search|recommender-system|search|search-engine|search-engines|similarity-search|vector-database|vector-search|vector-search-engine","master","22","25","1.000","1.000","2.000","0.762","4.333","12.215","2024-10-08T12:01:44Z","2025-09-30T12:23:50Z"
"runatlantis/atlantis","Go","atlantis|automation|devops|go|golang|hacktoberfest|sre|tacos|terraform","main","7","0","1.000","1.000","1.000","","","","2024-11-22T01:02:25Z","2025-09-18T16:00:07Z"
"rustdesk/rustdesk","Rust","android|anydesk|dart|flatpak|flutter|flutter-apps|ios|linux|macos|p2p|rdp|remote-control|remote-desktop|rust|rust-lang|teamviewer|vnc|wayland|windows","master","11","16","1.000","1.000","1.550","30.963","141.705","961.325","2024-10-29T01:49:04Z","2025-10-02T12:33:20Z"
"saltstack/salt","Python","cloud|cloud-management|cloud-providers|cloud-provisioning|configuration-management|edge|event-management|event-stream|infrastructure|infrastructure-as-a-code|infrastructure-as-code|infrastructure-automation|infrastructure-management|iot|python|remote-execution|zeromq","master","14","7","2.000","2.000","2.000","593.956","1393.152","4622.230","2024-10-23T13:28:39Z","2025-09-25T16:49:53Z"
"semaphoreui/semaphore","Go","ansible|awx|ci|cicd|devops|docker|docker-ui|go|golang|jenkins|opentofu|pulumi|terraform|terraform-ui|terragrunt","develop","53","31","2.000","3.000","4.900","37.000","414.172","543.209","2024-10-15T09:40:14Z","2025-09-27T16:51:48Z"
"shadcn-ui/ui","TypeScript","components|nextjs|radix-ui|react|shadcn|tailwindcss|ui","main","30","67","1.000","2.000","3.000","2.991","49.173","91.970","2024-10-23T07:36:07Z","2025-09-29T12:02:53Z"
"SigNoz/signoz","TypeScript","apm|application-monitoring|distributed-tracing|go|good-first-issue|jaeger|log|logs|metrics|monitoring|nextjs|observability|open-source|opentelemetry|prometheus|react|reactjs|self-hosted|tracing|typescript","main","65","65","1.000","2.000","2.000","44.639","265.638","625.517","2024-10-10T10:09:49Z","2025-09-30T17:37:48Z"
"stan-smith/FossFLOW","TypeScript","devops|infra|infrastructure","master","18","38","3.000","4.800","5.600","0.803","59.179","102.760","2025-07-01T15:23:01Z","2025-10-01T22:09:57Z"
"storybookjs/storybook","TypeScript","angular|components|design-systems|documentation|html|javascript|react|react-native|stories|storybook|styleguide|svelte|testing|typescript|ui|vite|vue|web-components|webpack|workshop","next","65","151","2.000","2.600","3.200","36.064","781.820","1733.110","2024-10-04T07:08:00Z","2025-10-02T19:10:56Z"
"taosdata/TDengine","C","bigdata|cloud-native|cluster|connected-vehicles|database|distributed|financial-analysis|industrial-iot|iot|metrics|monitoring|scalability|sql|tdengine|time-series|time-series-database|tsdb","main","14","1081","1.000","1.000","1.000","6.743","66.839","167.817","2024-09-30T02:26:03Z","2025-10-01T04:06:54Z"
"tauri-apps/tauri","Rust","desktop-app|high-performance|mobile-app|native-app|rust|web-frontend|webview","dev","33","54","1.000","2.000","3.000","32.232","679.104","1591.475","2024-10-03T12:01:02Z","2025-10-02T12:00:44Z"
"toeverything/AFFiNE","TypeScript","app|crdt|editor|electron|knowledge-base|markdown|miro|notes|notion|notion-alternative|rust|rust-lang|rust-language|table|tableview|whiteboard|wiki|workspace","canary","34","3072","1.000","2.000","3.950","4.497","68.176","205.050","2024-10-10T06:46:11Z","2025-10-01T15:08:34Z"
"ToolJet/ToolJet","JavaScript","ai-app-builder|docker|hacktoberfest|internal-applications|internal-project|internal-tool|internal-tools|javascript|kubernetes|low-code|low-code-development-platform|low-code-framework|no-code|nodejs|reactjs|self-hosted|typescript|web-development-tools|workflow-automation","develop","93","178","2.000","6.000","7.000","1.807","274.062","820.864","2024-10-09T15:50:43Z","2025-10-01T16:17:20Z"
"traefik/traefik","Go","consul|docker|etcd|go|golang|kubernetes|letsencrypt|load-balancer|marathon|mesos|microservice|reverse-proxy|traefik|zookeeper","master","44","1","2.000","3.000","4.200","47.618","47.618","47.618","2024-10-09T12:32:04Z","2025-09-26T09:31:01Z"
"Unitech/pm2","JavaScript","command-line|command-line-tool|deploy|load-balancer|monitoring|node|nodejs|pm2|process-manager|production","master","9","0","1.500","2.000","2.000","","","","2025-03-11T09:16:42Z","2025-09-22T09:02:56Z"
"Unleash/unleash","TypeScript","activation-strategies|collaboration|continuous-delivery|continuous-deployment|devops|devtool|experiments|feature|feature-flags|feature-toggle|feature-toggles|feature-toggling|hacktoberfest|integration|platform-engineering|sdk|toggles|unleash|variants","main","29","1390","1.000","2.000","2.000","1.287","27.318","118.486","2024-10-25T11:42:29Z","2025-10-02T14:48:27Z"
"vectordotdev/vector","Rust","events|forwarder|hacktoberfest|logs|metrics|observability|parser|pipeline|router|rust|stream-processing|vector","master","12","183","1.000","1.000","1.000","2.916","222.100","738.858","2024-10-21T14:08:49Z","2025-10-02T22:14:02Z"
"vercel/next.js","JavaScript","blog|browser|compiler|components|hybrid|nextjs|node|react|server-rendering|ssg|static|static-site-generator|universal|vercel","canary","20","1145","20.000","20.000","20.000","15.947","141.479","442.471","2024-12-05T15:37:14Z","2025-10-02T22:03:29Z"
"VictoriaMetrics/VictoriaMetrics","Go","database|grafana|graphite|influxdb|kubernetes|monitoring|observability|opentelemetry|opentsdb|prometheus|promql|thanos|tsdb","master","124","31","2.000","4.000","5.800","122.603","400.893","450.452","2024-10-08T10:23:25Z","2025-10-02T19:04:20Z"
"vllm-project/vllm","Python","amd|cuda|deepseek|gpt|hpu|inference|inferentia|llama|llm|llm-serving|llmops|mlops|model-serving|pytorch|qwen|rocm|tpu|trainium|transformer|xpu","main","26","97","1.000","2.000","2.000","21.579","260.999","545.256","2024-10-14T18:57:47Z","2025-10-02T23:30:37Z"
"wagtail/wagtail","Python","cms|django|hacktoberfest|python|wagtail","main","19","31","1.000","3.000","3.500","169.118","490.281","794.210","2024-11-01T13:16:24Z","2025-10-02T13:17:24Z"
"weaviate/weaviate","Go","approximate-nearest-neighbor-search|generative-search|grpc|hnsw|hybrid-search|image-search|information-retrieval|mlops|nearest-neighbor-search|neural-search|recommender-system|search-engine|semantic-search|semantic-search-engine|similarity-search|vector-database|vector-search|vector-search-engine|vectors|weaviate","main","134","206","2.000","4.000","5.000","4.449","149.167","477.764","2024-10-08T12:55:34Z","2025-10-02T08:16:42Z"
"withastro/astro","TypeScript","astro|blog|browser|components|hybrid|islands|node|server|static|static-site-generator|universal","main","119","481","2.000","4.000","5.000","20.349","210.231","794.847","2024-10-03T13:51:38Z","2025-10-02T16:29:38Z"
